epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,924.542,0.77993,0.75236,0.84318,0.56962,0.59109,0.61147,0.47975,0.82832,1.08513,0.86301,0.0005941,0.0005941,0.0005941
43,944.262,0.76186,0.73791,0.83937,0.70956,0.51799,0.58673,0.46406,0.74317,1.10702,0.84588,0.0005842,0.0005842,0.0005842
44,964.076,0.71563,0.67046,0.84323,0.60281,0.52998,0.58796,0.47088,0.7291,1.10714,0.85197,0.0005743,0.0005743,0.0005743
45,984.886,0.76593,0.73649,0.83705,0.58219,0.55652,0.5725,0.46046,0.73772,1.16518,0.84581,0.0005644,0.0005644,0.0005644
46,1004.85,0.73179,0.68405,0.83922,0.62561,0.5271,0.59683,0.48805,0.68448,1.05383,0.83842,0.0005545,0.0005545,0.0005545
47,1024.83,0.72823,0.69361,0.83603,0.65082,0.56987,0.63509,0.50533,0.68513,0.97571,0.83678,0.0005446,0.0005446,0.0005446
48,1048.01,0.73244,0.6845,0.83682,0.66088,0.541,0.6164,0.48999,0.72308,1.00601,0.84487,0.0005347,0.0005347,0.0005347
49,1067.49,0.75027,0.68625,0.83313,0.67119,0.50349,0.57972,0.46142,0.70195,1.08607,0.84359,0.0005248,0.0005248,0.0005248
50,1086.64,0.73154,0.64364,0.84793,0.53603,0.5398,0.58157,0.46227,0.75458,1.07088,0.84625,0.0005149,0.0005149,0.0005149
51,1108.52,0.70042,0.64582,0.84712,0.64403,0.55546,0.61339,0.48914,0.76004,1.0198,0.85156,0.000505,0.000505,0.000505
52,1128.68,0.69245,0.56783,0.81907,0.67828,0.48896,0.59557,0.49146,0.69086,1.05424,0.84215,0.0004951,0.0004951,0.0004951
53,1149.51,0.70861,0.60758,0.82502,0.58703,0.49769,0.59052,0.48868,0.66113,1.10666,0.83322,0.0004852,0.0004852,0.0004852
54,1169.46,0.71148,0.57801,0.83897,0.62455,0.51547,0.59991,0.46562,0.84003,1.13162,0.87224,0.0004753,0.0004753,0.0004753
55,1189.74,0.7362,0.58793,0.83542,0.60512,0.56737,0.62023,0.50457,0.67737,1.11437,0.83331,0.0004654,0.0004654,0.0004654
56,1210.43,0.72486,0.59164,0.83815,0.54868,0.57894,0.62597,0.49847,0.71796,1.07378,0.84142,0.0004555,0.0004555,0.0004555
