epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1584.55,1.30304,4.70561,0.96925,0.50215,0.1294,0.10383,0.07479,1.12919,3.76054,0.93794,0.000326797,0.000326797,0.0676471
2,2010.7,1.11891,2.88213,0.91153,0.36552,0.31529,0.18577,0.1296,1.08987,2.64433,0.92545,0.000653595,0.000653595,0.0346405
